null_pct,mode,strategy,event,asset,method,final_return_pct,bah_pct,delta_pct,alarm_rate,days_in_market,n_endpoints,start_date,end_date,first_alarm,lead_days
0.815,as reported,defensive,COVID-19,USOIL,IF,-73.498084,-78.921289,5.423205,0.260274,0.737931,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.4525,as reported,first_alarm,COVID-19,USOIL,IF,-0.307588,-78.921289,78.613701,0.260274,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.9475,as reported,persist,COVID-19,USOIL,IF,-54.267483,-78.921289,24.653805,0.260274,0.703448,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,as reported,defensive,COVID-19,USOIL,OCS,-59.77324,-78.921289,19.148048,0.130137,0.868966,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.4575,as reported,first_alarm,COVID-19,USOIL,OCS,-0.307588,-78.921289,78.613701,0.130137,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,as reported,persist,COVID-19,USOIL,OCS,-39.424626,-78.921289,39.496662,0.130137,0.813793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.925,as reported,defensive,COVID-19,USOIL,DSV,-74.008414,-78.921289,4.912874,0.205479,0.793103,146,2020-01-16,2020-08-13,2020-04-15,-38.0
0.425,as reported,first_alarm,COVID-19,USOIL,DSV,-66.045795,-78.921289,12.875493,0.205479,0.42069,146,2020-01-16,2020-08-13,2020-04-15,-38.0
0.9125,as reported,persist,COVID-19,USOIL,DSV,-59.532233,-78.921289,19.389056,0.205479,0.703448,146,2020-01-16,2020-08-13,2020-04-15,-38.0
0.835,as reported,defensive,COVID-19,USOIL,DAG,-71.294596,-78.921289,7.626692,0.280822,0.717241,146,2020-01-16,2020-08-13,2020-03-10,-13.0
0.5975,as reported,first_alarm,COVID-19,USOIL,DAG,-41.28503,-78.921289,37.636258,0.280822,0.248276,146,2020-01-16,2020-08-13,2020-03-10,-13.0
0.9525,as reported,persist,COVID-19,USOIL,DAG,-45.749684,-78.921289,33.171605,0.280822,0.668966,146,2020-01-16,2020-08-13,2020-03-10,-13.0
1.0,as reported,defensive,COVID-19,USOIL,OMNI,-69.569811,-78.921289,9.351477,0.054795,0.944828,146,2020-01-16,2020-08-13,2020-04-06,-32.0
0.495,as reported,first_alarm,COVID-19,USOIL,OMNI,-55.43404,-78.921289,23.487248,0.054795,0.37931,146,2020-01-16,2020-08-13,2020-04-06,-32.0
1.0,as reported,persist,COVID-19,USOIL,OMNI,-0.434719,-78.921289,78.48657,0.054795,0.937931,146,2020-01-16,2020-08-13,2020-04-06,-32.0
1.0,as reported,defensive,COVID-19,USOIL,USAD,-72.272445,-78.921289,6.648844,0.047945,0.951724,146,2020-01-16,2020-08-13,2020-01-24,18.0
0.28,as reported,first_alarm,COVID-19,USOIL,USAD,-7.399183,-78.921289,71.522106,0.047945,0.034483,146,2020-01-16,2020-08-13,2020-01-24,18.0
0.3275,as reported,persist,COVID-19,USOIL,USAD,-78.15487,-78.921289,0.766419,0.047945,0.924138,146,2020-01-16,2020-08-13,2020-01-24,18.0
0.0,as reported,defensive,COVID-19,USOIL,TR,-79.386862,-78.921289,-0.465573,0.006849,0.993103,146,2020-01-16,2020-08-13,2020-07-14,-100.0
0.0,as reported,first_alarm,COVID-19,USOIL,TR,-79.894383,-78.921289,-0.973094,0.006849,0.848276,146,2020-01-16,2020-08-13,2020-07-14,-100.0
0.5,as reported,persist,COVID-19,USOIL,TR,-78.921289,-78.921289,0.0,0.006849,1.0,146,2020-01-16,2020-08-13,2020-07-14,-100.0
0.0,as reported,defensive,COVID-19,USOIL,AT,-90.544098,-78.921289,-11.62281,0.171233,0.827586,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.4875,as reported,first_alarm,COVID-19,USOIL,AT,-0.307588,-78.921289,78.613701,0.171233,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.0,as reported,persist,COVID-19,USOIL,AT,-90.186265,-78.921289,-11.264977,0.171233,0.82069,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.0,as reported,defensive,COVID-19,USOIL,EXP,-80.432109,-78.921289,-1.510821,0.041096,0.958621,146,2020-01-16,2020-08-13,2020-07-09,-97.0
0.0,as reported,first_alarm,COVID-19,USOIL,EXP,-80.228729,-78.921289,-1.30744,0.041096,0.827586,146,2020-01-16,2020-08-13,2020-07-09,-97.0
0.2275,as reported,persist,COVID-19,USOIL,EXP,-78.774727,-78.921289,0.146561,0.041096,0.896552,146,2020-01-16,2020-08-13,2020-07-09,-97.0
1.0,as reported,defensive,COVID-19,USOIL,ENST,-67.036758,-78.921289,11.88453,0.226027,0.772414,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.43,as reported,first_alarm,COVID-19,USOIL,ENST,-0.307588,-78.921289,78.613701,0.226027,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,as reported,persist,COVID-19,USOIL,ENST,-2.748462,-78.921289,76.172827,0.226027,0.717241,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.5,far0.05,defensive,COVID-19,USOIL,IF,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,first_alarm,COVID-19,USOIL,IF,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,persist,COVID-19,USOIL,IF,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,defensive,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,first_alarm,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,persist,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5475,far0.05,defensive,COVID-19,USOIL,DSV,-76.594267,-78.921289,2.327021,0.260274,0.737931,146,2020-01-16,2020-08-13,2020-01-29,15.0
0.285,far0.05,first_alarm,COVID-19,USOIL,DSV,-8.86876,-78.921289,70.052528,0.260274,0.055172,146,2020-01-16,2020-08-13,2020-01-29,15.0
0.7275,far0.05,persist,COVID-19,USOIL,DSV,-59.309005,-78.921289,19.612284,0.260274,0.627586,146,2020-01-16,2020-08-13,2020-01-29,15.0
0.0,far0.05,defensive,COVID-19,USOIL,DAG,-80.71284,-78.921289,-1.791551,0.034247,0.965517,146,2020-01-16,2020-08-13,2020-04-22,-43.0
0.0325,far0.05,first_alarm,COVID-19,USOIL,DAG,-93.12347,-78.921289,-14.202181,0.034247,0.455172,146,2020-01-16,2020-08-13,2020-04-22,-43.0
0.0,far0.05,persist,COVID-19,USOIL,DAG,-85.838813,-78.921289,-6.917525,0.034247,0.944828,146,2020-01-16,2020-08-13,2020-04-22,-43.0
1.0,far0.05,defensive,COVID-19,USOIL,OMNI,-53.788502,-78.921289,25.132787,0.239726,0.758621,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.415,far0.05,first_alarm,COVID-19,USOIL,OMNI,-0.307588,-78.921289,78.613701,0.239726,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,far0.05,persist,COVID-19,USOIL,OMNI,7.82506,-78.921289,86.746348,0.239726,0.682759,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.5,far0.05,defensive,COVID-19,USOIL,USAD,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,first_alarm,COVID-19,USOIL,USAD,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,persist,COVID-19,USOIL,USAD,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.4025,far0.05,defensive,COVID-19,USOIL,TR,-1.154882,-78.921289,77.766407,0.938356,0.062069,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.5,far0.05,first_alarm,COVID-19,USOIL,TR,0.0,-78.921289,78.921289,0.938356,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.3175,far0.05,persist,COVID-19,USOIL,TR,-4.108651,-78.921289,74.812637,0.938356,0.041379,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.0,far0.05,defensive,COVID-19,USOIL,AT,-84.428567,-78.921289,-5.507278,0.054795,0.944828,146,2020-01-16,2020-08-13,2020-05-08,-55.0
0.015,far0.05,first_alarm,COVID-19,USOIL,AT,-87.654183,-78.921289,-8.732895,0.054795,0.537931,146,2020-01-16,2020-08-13,2020-05-08,-55.0
0.0,far0.05,persist,COVID-19,USOIL,AT,-84.491312,-78.921289,-5.570023,0.054795,0.924138,146,2020-01-16,2020-08-13,2020-05-08,-55.0
0.5,far0.05,defensive,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,first_alarm,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,persist,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,defensive,COVID-19,USOIL,ENST,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,first_alarm,COVID-19,USOIL,ENST,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,persist,COVID-19,USOIL,ENST,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
1.0,far0.10,defensive,COVID-19,USOIL,IF,-53.048452,-78.921289,25.872836,0.027397,0.972414,146,2020-01-16,2020-08-13,2020-04-16,-39.0
0.41,far0.10,first_alarm,COVID-19,USOIL,IF,-66.045795,-78.921289,12.875493,0.027397,0.427586,146,2020-01-16,2020-08-13,2020-04-16,-39.0
1.0,far0.10,persist,COVID-19,USOIL,IF,-22.152487,-78.921289,56.768802,0.027397,0.965517,146,2020-01-16,2020-08-13,2020-04-16,-39.0
0.5,far0.10,defensive,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.10,first_alarm,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.10,persist,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.7225,far0.10,defensive,COVID-19,USOIL,DSV,-70.609631,-78.921289,8.311657,0.335616,0.662069,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.5175,far0.10,first_alarm,COVID-19,USOIL,DSV,-0.307588,-78.921289,78.613701,0.335616,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.7425,far0.10,persist,COVID-19,USOIL,DSV,-59.309005,-78.921289,19.612284,0.335616,0.627586,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.0,far0.10,defensive,COVID-19,USOIL,DAG,-85.735435,-78.921289,-6.814147,0.082192,0.917241,146,2020-01-16,2020-08-13,2020-04-22,-43.0
0.0225,far0.10,first_alarm,COVID-19,USOIL,DAG,-93.12347,-78.921289,-14.202181,0.082192,0.455172,146,2020-01-16,2020-08-13,2020-04-22,-43.0
0.0,far0.10,persist,COVID-19,USOIL,DAG,-87.607749,-78.921289,-8.686461,0.082192,0.868966,146,2020-01-16,2020-08-13,2020-04-22,-43.0
