null_pct,mode,strategy,event,asset,method,final_return_pct,bah_pct,delta_pct,alarm_rate,days_in_market,n_endpoints,start_date,end_date,first_alarm,lead_days,method_order
0.3475,as reported,first_alarm,COVID-19,EURUSD,IF,-0.352862,5.395292,-5.748154,0.184211,0.046358,152,2020-01-14,2020-08-12,2020-01-23,20.0,0
0.4775,as reported,first_alarm,COVID-19,EURUSD,OCS,-0.043409,5.395292,-5.438701,0.276316,0.006623,152,2020-01-14,2020-08-12,2020-01-15,26.0,1
0.5,as reported,first_alarm,COVID-19,EURUSD,DSV,0.0,5.395292,-5.395292,0.203947,0.0,152,2020-01-14,2020-08-12,2020-01-14,27.0,2
0.5,as reported,first_alarm,COVID-19,EURUSD,DAG,2.247603,5.395292,-3.147689,0.25,0.258278,152,2020-01-14,2020-08-12,2020-03-09,-12.0,3
0.315,as reported,first_alarm,COVID-19,EURUSD,OMNI,-0.352862,5.395292,-5.748154,0.177632,0.046358,152,2020-01-14,2020-08-12,2020-01-23,20.0,4
0.1,as reported,first_alarm,COVID-19,EURUSD,USAD,-2.601953,5.395292,-7.997245,0.019737,0.152318,152,2020-01-14,2020-08-12,2020-02-14,4.0,5
0.455,as reported,first_alarm,COVID-19,EURUSD,TR,-0.043409,5.395292,-5.438701,0.092105,0.006623,152,2020-01-14,2020-08-12,2020-01-15,26.0,6
0.605,as reported,first_alarm,COVID-19,EURUSD,AT,0.164077,5.395292,-5.231214,0.276316,0.013245,152,2020-01-14,2020-08-12,2020-01-16,25.0,7
0.3925,as reported,first_alarm,COVID-19,EURUSD,EXP,-0.043409,5.395292,-5.438701,0.138158,0.006623,152,2020-01-14,2020-08-12,2020-01-15,26.0,8
0.3475,as reported,first_alarm,COVID-19,EURUSD,ENST,-0.352862,5.395292,-5.748154,0.098684,0.046358,152,2020-01-14,2020-08-12,2020-01-23,20.0,10
0.7225,as reported,first_alarm,COVID-19,GOLD,IF,6.171722,26.320203,-20.148481,0.047945,0.165517,146,2020-01-16,2020-08-13,2020-02-21,-1.0,0
0.7875,as reported,first_alarm,COVID-19,GOLD,OCS,7.966432,26.320203,-18.353772,0.212329,0.172414,146,2020-01-16,2020-08-13,2020-02-24,-2.0,1
0.3525,as reported,first_alarm,COVID-19,GOLD,DSV,1.684956,26.320203,-24.635247,0.376712,0.131034,146,2020-01-16,2020-08-13,2020-02-13,4.0,2
0.7325,as reported,first_alarm,COVID-19,GOLD,DAG,6.171722,26.320203,-20.148481,0.034247,0.165517,146,2020-01-16,2020-08-13,2020-02-21,-1.0,3
0.5,as reported,first_alarm,COVID-19,GOLD,OMNI,0.0,26.320203,-26.320203,0.068493,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0,4
