arm,epochs,mapping,held_out,seed,auc,n_test,prevalence
classifier,3,cosine,COVID-19,0,0.5114042207792208,444,0.4954954954954955
classifier,3,cosine,COVID-19,1,0.5640827922077922,444,0.4954954954954955
classifier,3,cosine,COVID-19,2,0.5779829545454546,444,0.4954954954954955
classifier,3,cosine,Russia-Ukraine,0,0.5947759538598048,380,0.5157894736842106
classifier,3,cosine,Russia-Ukraine,1,0.5870397071872228,380,0.5157894736842106
classifier,3,cosine,Russia-Ukraine,2,0.5774179236912156,380,0.5157894736842106
classifier,3,cosine,Chinese,0,0.5816073409297167,446,0.4730941704035874
classifier,3,cosine,Chinese,1,0.6447716043158214,446,0.4730941704035874
classifier,3,cosine,Chinese,2,0.556720782494706,446,0.4730941704035874
classifier,3,cosine,Iran 2025,0,0.5187411303113783,319,0.3793103448275862
classifier,3,cosine,Iran 2025,1,0.5675348526588196,319,0.3793103448275862
classifier,3,cosine,Iran 2025,2,0.5146923783287419,319,0.3793103448275862
classifier,3,arctan,COVID-19,0,0.4955357142857143,444,0.4954954954954955
classifier,3,arctan,COVID-19,1,0.5421266233766234,444,0.4954954954954955
classifier,3,arctan,COVID-19,2,0.5344764610389611,444,0.4954954954954955
classifier,3,arctan,Russia-Ukraine,0,0.3416426353149955,380,0.5157894736842106
classifier,3,arctan,Russia-Ukraine,1,0.4364185891748003,380,0.5157894736842106
classifier,3,arctan,Russia-Ukraine,2,0.6729980035492458,380,0.5157894736842106
classifier,3,arctan,Chinese,0,0.6260663507109004,446,0.4730941704035874
classifier,3,arctan,Chinese,1,0.6855702329333467,446,0.4730941704035874
classifier,3,arctan,Chinese,2,0.3627709992941413,446,0.4730941704035874
classifier,3,arctan,Iran 2025,0,0.4280407379580933,319,0.3793103448275862
classifier,3,arctan,Iran 2025,1,0.4941564404374322,319,0.3793103448275862
classifier,3,arctan,Iran 2025,2,0.5750480006678353,319,0.3793103448275862
classifier,3,arccosh,COVID-19,0,0.4791193181818182,444,0.4954954954954955
classifier,3,arccosh,COVID-19,1,0.5078530844155844,444,0.4954954954954955
classifier,3,arccosh,COVID-19,2,0.5455357142857142,444,0.4954954954954955
classifier,3,arccosh,Russia-Ukraine,0,0.6752994676131322,380,0.5157894736842106
classifier,3,arccosh,Russia-Ukraine,1,0.6449090505767524,380,0.5157894736842106
classifier,3,arccosh,Russia-Ukraine,2,0.3343500443655723,380,0.5157894736842106
classifier,3,arccosh,Chinese,0,0.443017041443985,446,0.4730941704035874
classifier,3,arccosh,Chinese,1,0.4775032772007663,446,0.4730941704035874
classifier,3,arccosh,Chinese,2,0.4392054048603408,446,0.4730941704035874
classifier,3,arccosh,Iran 2025,0,0.5598130060939979,319,0.3793103448275862
classifier,3,arccosh,Iran 2025,1,0.5855664078804574,319,0.3793103448275862
classifier,3,arccosh,Iran 2025,2,0.3765756740963352,319,0.3793103448275862
classifier,3,exponential,COVID-19,0,0.613189935064935,444,0.4954954954954955
classifier,3,exponential,COVID-19,1,0.6283279220779221,444,0.4954954954954955
classifier,3,exponential,COVID-19,2,0.6502029220779221,444,0.4954954954954955
classifier,3,exponential,Russia-Ukraine,0,0.6511479591836735,380,0.5157894736842106
classifier,3,exponential,Russia-Ukraine,1,0.6486801242236024,380,0.5157894736842106
classifier,3,exponential,Russia-Ukraine,2,0.6403893078970718,380,0.5157894736842106
classifier,3,exponential,Chinese,0,0.4730059493798528,446,0.4730941704035874
classifier,3,exponential,Chinese,1,0.5078350307552687,446,0.4730941704035874
classifier,3,exponential,Chinese,2,0.4783301401633558,446,0.4730941704035874
classifier,3,exponential,Iran 2025,0,0.6203773269888972,319,0.3793103448275862
classifier,3,exponential,Iran 2025,1,0.6408715251690458,319,0.3793103448275862
classifier,3,exponential,Iran 2025,2,0.6145337674263294,319,0.3793103448275862
classifier,5,cosine,COVID-19,0,0.5511160714285714,444,0.4954954954954955
classifier,5,cosine,COVID-19,1,0.5734780844155845,444,0.4954954954954955
classifier,5,cosine,COVID-19,2,0.5929383116883117,444,0.4954954954954955
classifier,5,cosine,Russia-Ukraine,0,0.59094942324756,380,0.5157894736842106
classifier,5,cosine,Russia-Ukraine,1,0.5864296805678794,380,0.5157894736842106
classifier,5,cosine,Russia-Ukraine,2,0.5952750665483585,380,0.5157894736842106
classifier,5,cosine,Chinese,0,0.5960270243017042,446,0.4730941704035874
classifier,5,cosine,Chinese,1,0.6174649591610366,446,0.4730941704035874
classifier,5,cosine,Chinese,2,0.5916305334274479,446,0.4730941704035874
classifier,5,cosine,Iran 2025,0,0.5356039736205025,319,0.3793103448275862
classifier,5,cosine,Iran 2025,1,0.5553468569997496,319,0.3793103448275862
classifier,5,cosine,Iran 2025,2,0.543033642207196,319,0.3793103448275862
classifier,5,arctan,COVID-19,0,0.4971590909090909,444,0.4954954954954955
classifier,5,arctan,COVID-19,1,0.5248782467532468,444,0.4954954954954955
classifier,5,arctan,COVID-19,2,0.5395900974025974,444,0.4954954954954955
classifier,5,arctan,Russia-Ukraine,0,0.3426131322094055,380,0.5157894736842106
classifier,5,arctan,Russia-Ukraine,1,0.4524179236912156,380,0.5157894736842106
classifier,5,arctan,Russia-Ukraine,2,0.6809838065661047,380,0.5157894736842106
classifier,5,arctan,Chinese,0,0.5964505394776646,446,0.4730941704035874
classifier,5,arctan,Chinese,1,0.5357870323686599,446,0.4730941704035874
classifier,5,arctan,Chinese,2,0.3804779671271553,446,0.4730941704035874
classifier,5,arctan,Iran 2025,0,0.418315385257534,319,0.3793103448275862
classifier,5,arctan,Iran 2025,1,0.5186159111778946,319,0.3793103448275862
classifier,5,arctan,Iran 2025,2,0.561524334251607,319,0.3793103448275862
classifier,5,arccosh,COVID-19,0,0.5085430194805195,444,0.4954954954954955
classifier,5,arccosh,COVID-19,1,0.5106939935064935,444,0.4954954954954955
classifier,5,arccosh,COVID-19,2,0.5221387987012988,444,0.4954954954954955
classifier,5,arccosh,Russia-Ukraine,0,0.6446594942324756,380,0.5157894736842106
classifier,5,arccosh,Russia-Ukraine,1,0.6154336734693877,380,0.5157894736842106
classifier,5,arccosh,Russia-Ukraine,2,0.3761368677905945,380,0.5157894736842106
classifier,5,arccosh,Chinese,0,0.4520116970858122,446,0.4730941704035874
classifier,5,arccosh,Chinese,1,0.4580619138852475,446,0.4730941704035874
classifier,5,arccosh,Chinese,2,0.4565291922960572,446,0.4730941704035874
classifier,5,arccosh,Iran 2025,0,0.547040654478671,319,0.3793103448275862
classifier,5,arccosh,Iran 2025,1,0.5687035645713332,319,0.3793103448275862
classifier,5,arccosh,Iran 2025,2,0.4984138909758744,319,0.3793103448275862
classifier,5,exponential,COVID-19,0,0.6391842532467532,444,0.4954954954954955
classifier,5,exponential,COVID-19,1,0.6290178571428572,444,0.4954954954954955
classifier,5,exponential,COVID-19,2,0.6530844155844155,444,0.4954954954954955
classifier,5,exponential,Russia-Ukraine,0,0.6499279059449867,380,0.5157894736842106
classifier,5,exponential,Russia-Ukraine,1,0.6469886867790594,380,0.5157894736842106
classifier,5,exponential,Russia-Ukraine,2,0.6486246672582077,380,0.5157894736842106
classifier,5,exponential,Chinese,0,0.4774629424221034,446,0.4730941704035874
classifier,5,exponential,Chinese,1,0.4898053846929515,446,0.4730941704035874
classifier,5,exponential,Chinese,2,0.4907734193808611,446,0.4730941704035874
classifier,5,exponential,Iran 2025,0,0.6257617497286919,319,0.3793103448275862
classifier,5,exponential,Iran 2025,1,0.6392854161449203,319,0.3793103448275862
classifier,5,exponential,Iran 2025,2,0.6264295851072711,319,0.3793103448275862
classifier,10,cosine,COVID-19,0,0.5909699675324676,444,0.4954954954954955
classifier,10,cosine,COVID-19,1,0.5944805194805195,444,0.4954954954954955
classifier,10,cosine,COVID-19,2,0.5892857142857143,444,0.4954954954954955
classifier,10,cosine,Russia-Ukraine,0,0.5925854037267081,380,0.5157894736842106
classifier,10,cosine,Russia-Ukraine,1,0.5898402839396628,380,0.5157894736842106
classifier,10,cosine,Russia-Ukraine,2,0.5992125110913931,380,0.5157894736842106
classifier,10,cosine,Chinese,0,0.606171221135424,446,0.4730941704035874
classifier,10,cosine,Chinese,1,0.6130886356761117,446,0.4730941704035874
classifier,10,cosine,Chinese,2,0.6100433598870626,446,0.4730941704035874
classifier,10,cosine,Iran 2025,0,0.5565155689122632,319,0.3793103448275862
classifier,10,cosine,Iran 2025,1,0.5644878537440521,319,0.3793103448275862
classifier,10,cosine,Iran 2025,2,0.575173219801319,319,0.3793103448275862
classifier,10,arctan,COVID-19,0,0.5150974025974026,444,0.4954954954954955
classifier,10,arctan,COVID-19,1,0.5165787337662338,444,0.4954954954954955
classifier,10,arctan,COVID-19,2,0.5342329545454545,444,0.4954954954954955
classifier,10,arctan,Russia-Ukraine,0,0.354536379769299,380,0.5157894736842106
classifier,10,arctan,Russia-Ukraine,1,0.4332298136645963,380,0.5157894736842106
classifier,10,arctan,Russia-Ukraine,2,0.4129602928127773,380,0.5157894736842106
classifier,10,arctan,Chinese,0,0.5755167893516184,446,0.4730941704035874
classifier,10,arctan,Chinese,1,0.5293133003932641,446,0.4730941704035874
classifier,10,arctan,Chinese,2,0.4469295149742865,446,0.4730941704035874
classifier,10,arctan,Iran 2025,0,0.4406461307287753,319,0.3793103448275862
classifier,10,arctan,Iran 2025,1,0.4967860422405877,319,0.3793103448275862
classifier,10,arctan,Iran 2025,2,0.4462809917355372,319,0.3793103448275862
classifier,10,arccosh,COVID-19,0,0.5183035714285714,444,0.4954954954954955
classifier,10,arccosh,COVID-19,1,0.5179383116883117,444,0.4954954954954955
classifier,10,arccosh,COVID-19,2,0.4982954545454545,444,0.4954954954954955
classifier,10,arccosh,Russia-Ukraine,0,0.6193156610470275,380,0.5157894736842106
classifier,10,arccosh,Russia-Ukraine,1,0.5673802129547472,380,0.5157894736842106
classifier,10,arccosh,Russia-Ukraine,2,0.5344387755102041,380,0.5157894736842106
classifier,10,arccosh,Chinese,0,0.48054855298981547,446,0.4730941704035874
classifier,10,arccosh,Chinese,1,0.4729857819905213,446,0.4730941704035874
classifier,10,arccosh,Chinese,2,0.48232328325098317,446,0.4730941704035874
classifier,10,arccosh,Iran 2025,0,0.5250020869855581,319,0.3793103448275862
classifier,10,arccosh,Iran 2025,1,0.554386843643042,319,0.3793103448275862
classifier,10,arccosh,Iran 2025,2,0.5015443693129643,319,0.3793103448275862
classifier,10,exponential,COVID-19,0,0.6453530844155844,444,0.4954954954954955
classifier,10,exponential,COVID-19,1,0.6387784090909091,444,0.4954954954954955
classifier,10,exponential,COVID-19,2,0.6389204545454545,444,0.4954954954954955
classifier,10,exponential,Russia-Ukraine,0,0.6549744897959183,380,0.5157894736842106
classifier,10,exponential,Russia-Ukraine,1,0.6532830523513753,380,0.5157894736842106
classifier,10,exponential,Russia-Ukraine,2,0.6580246228926353,380,0.5157894736842106
classifier,10,exponential,Chinese,0,0.47738227286477763,446,0.4730941704035874
classifier,10,exponential,Chinese,1,0.48450136129877985,446,0.4730941704035874
classifier,10,exponential,Chinese,2,0.487324795805183,446,0.4730941704035874
classifier,10,exponential,Iran 2025,0,0.6271808999081726,319,0.3793103448275862
classifier,10,exponential,Iran 2025,1,0.6399949912346606,319,0.3793103448275862
classifier,10,exponential,Iran 2025,2,0.6258452291510143,319,0.3793103448275862
classifier,20,cosine,COVID-19,0,0.5927150974025974,444,0.4954954954954955
classifier,20,cosine,COVID-19,1,0.5862621753246753,444,0.4954954954954955
classifier,20,cosine,COVID-19,2,0.5789569805194805,444,0.4954954954954955
