lambda_gp,variant,mapping,held_out,seed,auc,prauc,d_loss_final,contrast,n_test,prevalence,epochs
2.0,compact,cosine,COVID-19,0,0.7260551948051948,0.7607323435393203,-26.53496360778809,0.4638431514712628,444,0.4954954954954955,20
2.0,compact,cosine,COVID-19,1,0.7147118506493506,0.7380957367405706,-13.650182723999023,0.4638431514712628,444,0.4954954954954955,20
2.0,compact,cosine,COVID-19,2,0.7215706168831169,0.7549804340156214,-19.13575935363769,0.4638431514712628,444,0.4954954954954955,20
2.0,compact,cosine,Russia-Ukraine,0,0.5635536823425022,0.6268345482113208,-20.225893020629883,0.4638431514712628,380,0.5157894736842106,20
2.0,compact,cosine,Russia-Ukraine,1,0.551907719609583,0.6114549789002875,-12.402447700500488,0.4638431514712628,380,0.5157894736842106,20
2.0,compact,cosine,Russia-Ukraine,2,0.560226264418811,0.6303514384968293,-15.96116065979004,0.4638431514712628,380,0.5157894736842106,20
2.0,compact,cosine,Chinese,0,0.4514268427952002,0.436360184948291,-24.850547790527344,0.4638431514712628,446,0.4730941704035874,20
2.0,compact,cosine,Chinese,1,0.4614500352929313,0.4661831713796339,-13.626049041748049,0.4638431514712628,446,0.4730941704035874,20
2.0,compact,cosine,Chinese,2,0.465725521831199,0.4409136459191676,-18.57504653930664,0.4638431514712628,446,0.4730941704035874,20
2.0,compact,cosine,Iran 2025,0,0.4733700642791552,0.4296989767775091,-20.64490127563477,0.4638431514712628,319,0.3793103448275862,20
2.0,compact,cosine,Iran 2025,1,0.4476166624926955,0.3481807423921774,-13.022297859191896,0.4638431514712628,319,0.3793103448275862,20
2.0,compact,cosine,Iran 2025,2,0.4502045245846898,0.3746689388867761,-16.881155014038086,0.4638431514712628,319,0.3793103448275862,20
2.0,compact,arctan,COVID-19,0,0.7267451298701298,0.7051182804729244,-17.215003967285156,0.2435032908331336,444,0.4954954954954955,20
2.0,compact,arctan,COVID-19,1,0.4862418831168831,0.5600701337161444,-24.68705368041992,0.2435032908331336,444,0.4954954954954955,20
2.0,compact,arctan,COVID-19,2,0.5435673701298701,0.5341122409935705,-17.798362731933594,0.2435032908331336,444,0.4954954954954955,20
2.0,compact,arctan,Russia-Ukraine,0,0.6825643300798581,0.6991435290227244,-13.51776885986328,0.2435032908331336,380,0.5157894736842106,20
2.0,compact,arctan,Russia-Ukraine,1,0.5929736024844721,0.5897128320322818,-22.49360656738281,0.2435032908331336,380,0.5157894736842106,20
2.0,compact,arctan,Russia-Ukraine,2,0.5247892635314996,0.5353136966020069,-13.973589897155762,0.2435032908331336,380,0.5157894736842106,20
2.0,compact,arctan,Chinese,0,0.5757991328022587,0.5655616807758029,-18.05134391784668,0.2435032908331336,446,0.4730941704035874,20
2.0,compact,arctan,Chinese,1,0.468811132398911,0.4666972492019977,-23.92141342163086,0.2435032908331336,446,0.4730941704035874,20
2.0,compact,arctan,Chinese,2,0.5486739941514571,0.5948587706635128,-18.0131893157959,0.2435032908331336,446,0.4730941704035874,20
2.0,compact,arctan,Iran 2025,0,0.4180232072794056,0.396524997164269,-14.470356941223145,0.2435032908331336,319,0.3793103448275862,20
2.0,compact,arctan,Iran 2025,1,0.5236664162283997,0.4550650933769732,-21.45096969604492,0.2435032908331336,319,0.3793103448275862,20
2.0,compact,arctan,Iran 2025,2,0.5074714082978545,0.4113803765331821,-14.27804183959961,0.2435032908331336,319,0.3793103448275862,20
2.0,compact,arccosh,COVID-19,0,0.7827719155844156,0.8028252582065292,-8.884695053100586,0.4212016788444013,444,0.4954954954954955,20
2.0,compact,arccosh,COVID-19,1,0.7407467532467532,0.7264669038607195,-8.030086517333984,0.4212016788444013,444,0.4954954954954955,20
2.0,compact,arccosh,COVID-19,2,0.7554586038961039,0.7695247599051336,-8.037952423095703,0.4212016788444013,444,0.4954954954954955,20
2.0,compact,arccosh,Russia-Ukraine,0,0.5352983584738243,0.5767330677248754,-8.244518280029297,0.4212016788444013,380,0.5157894736842106,20
2.0,compact,arccosh,Russia-Ukraine,1,0.5640527950310559,0.584903169493574,-7.707680702209473,0.4212016788444013,380,0.5157894736842106,20
2.0,compact,arccosh,Russia-Ukraine,2,0.554569653948536,0.5893251790423121,-6.442553997039795,0.4212016788444013,380,0.5157894736842106,20
2.0,compact,arccosh,Chinese,0,0.4879298174851265,0.474094208622783,-9.126272201538086,0.4212016788444013,446,0.4730941704035874,20
2.0,compact,arccosh,Chinese,1,0.4012705455278814,0.4437210094452698,-8.875475883483887,0.4212016788444013,446,0.4730941704035874,20
2.0,compact,arccosh,Chinese,2,0.4223656347685792,0.4559859518963035,-8.83474349975586,0.4212016788444013,446,0.4730941704035874,20
2.0,compact,arccosh,Iran 2025,0,0.4253693964437766,0.3448459156777512,-9.819372177124023,0.4212016788444013,319,0.3793103448275862,20
2.0,compact,arccosh,Iran 2025,1,0.4362217213456882,0.3361897900138583,-9.02875804901123,0.4212016788444013,319,0.3793103448275862,20
