window,w_max,mapping,held_out,seed,auc,n,prevalence,n_eff,img_size,epochs
16,64,cosine,COVID-19,0,0.6007395690834473,444,0.38738738738738737,27.75,32,20
16,64,cosine,COVID-19,1,0.6185661764705882,444,0.38738738738738737,27.75,32,20
16,64,cosine,COVID-19,2,0.5398854309165527,444,0.38738738738738737,27.75,32,20
16,64,cosine,Russia-Ukraine,0,0.5746738117427772,380,0.3894736842105263,23.75,32,20
16,64,cosine,Russia-Ukraine,1,0.5689363932898416,380,0.3894736842105263,23.75,32,20
16,64,cosine,Russia-Ukraine,2,0.5765377446411929,380,0.3894736842105263,23.75,32,20
16,64,cosine,Chinese,0,0.509722734071842,446,0.3654708520179372,27.875,32,20
16,64,cosine,Chinese,1,0.5067744802618743,446,0.3654708520179372,27.875,32,20
16,64,cosine,Chinese,2,0.5143402198183356,446,0.3654708520179372,27.875,32,20
16,64,cosine,Iran 2025,0,0.5963915803541597,319,0.22884012539184953,19.9375,32,20
16,64,cosine,Iran 2025,1,0.5919367412852211,319,0.22884012539184953,19.9375,32,20
16,64,cosine,Iran 2025,2,0.59800645951665,319,0.22884012539184953,19.9375,32,20
16,64,arctan,COVID-19,0,0.5174632352941176,444,0.38738738738738737,27.75,32,20
16,64,arctan,COVID-19,1,0.5238115595075239,444,0.38738738738738737,27.75,32,20
16,64,arctan,COVID-19,2,0.52218707250342,444,0.38738738738738737,27.75,32,20
16,64,arctan,Russia-Ukraine,0,0.566256989748369,380,0.3894736842105263,23.75,32,20
16,64,arctan,Russia-Ukraine,1,0.6313490214352283,380,0.3894736842105263,23.75,32,20
16,64,arctan,Russia-Ukraine,2,0.5652085274930102,380,0.3894736842105263,23.75,32,20
16,64,arctan,Chinese,0,0.5658479481454183,446,0.3654708520179372,27.875,32,20
16,64,arctan,Chinese,1,0.5832122959526546,446,0.3654708520179372,27.875,32,20
16,64,arctan,Chinese,2,0.5481367469487741,446,0.3654708520179372,27.875,32,20
16,64,arctan,Iran 2025,0,0.49716004009355164,319,0.22884012539184953,19.9375,32,20
16,64,arctan,Iran 2025,1,0.5422096001781935,319,0.22884012539184953,19.9375,32,20
16,64,arctan,Iran 2025,2,0.525448268181312,319,0.22884012539184953,19.9375,32,20
16,64,arccosh,COVID-19,0,0.5632481190150479,444,0.38738738738738737,27.75,32,20
16,64,arccosh,COVID-19,1,0.5549119357045144,444,0.38738738738738737,27.75,32,20
16,64,arccosh,COVID-19,2,0.5650649794801642,444,0.38738738738738737,27.75,32,20
16,64,arccosh,Russia-Ukraine,0,0.6148939888164026,380,0.3894736842105263,23.75,32,20
16,64,arccosh,Russia-Ukraine,1,0.626485321528425,380,0.3894736842105263,23.75,32,20
16,64,arccosh,Russia-Ukraine,2,0.6211556383970177,380,0.3894736842105263,23.75,32,20
16,64,arccosh,Chinese,0,0.5658045914717423,446,0.3654708520179372,27.875,32,20
16,64,arccosh,Chinese,1,0.5711374623338897,446,0.3654708520179372,27.875,32,20
16,64,arccosh,Chinese,2,0.5554206681263414,446,0.3654708520179372,27.875,32,20
16,64,arccosh,Iran 2025,0,0.5280098006459517,319,0.22884012539184953,19.9375,32,20
