episode,asset,n,n_pos,auc_hybrid_true,prauc_hybrid_true,auc_standalone_ref,prauc_standalone_ref,max_abs_diff,d_auc
COVID-19,USOIL,146,74,0.4872,0.6056,0.0608,0.3217,0.361,0.4264
COVID-19,GOLD,146,74,0.4439,0.5569,0.7528,0.7483,0.3535,-0.3089
COVID-19,EURUSD,152,75,0.7098,0.7617,0.5744,0.5162,0.362,0.1354
Russia-Ukraine,USOIL,125,66,0.9278,0.946,0.6528,0.7336,0.4274,0.275
Russia-Ukraine,GOLD,125,66,0.2946,0.4006,0.2979,0.4308,0.3441,-0.0033
Russia-Ukraine,EURUSD,130,67,0.7152,0.7384,0.3667,0.5037,0.2642,0.3485
Chinese,USOIL,147,71,0.5728,0.598,0.3534,0.389,0.2539,0.2194
Chinese,GOLD,147,71,0.6512,0.5818,0.3549,0.4046,0.2233,0.2963
Chinese,EURUSD,152,72,0.0811,0.3011,0.3899,0.4322,0.2303,-0.3089
Iran 2025,USOIL,106,41,0.5441,0.5189,0.5606,0.4843,0.2544,-0.0165
Iran 2025,GOLD,106,41,0.4218,0.3508,0.5895,0.3977,0.1301,-0.1677
Iran 2025,EURUSD,107,42,0.6733,0.5923,0.178,0.2701,0.2014,0.4952
Iran 2026,USOIL,37,18,0.5526,0.5685,0.0117,0.3105,0.2438,0.5409
Iran 2026,GOLD,37,18,0.7515,0.737,0.0322,0.3127,0.2093,0.7193
Iran 2026,EURUSD,41,20,0.0976,0.3251,0.1619,0.3394,0.1268,-0.0643
Normal 2019,USOIL,128,0,,,,,0.3078,
Normal 2019,GOLD,128,0,,,,,0.2862,
Normal 2019,EURUSD,132,0,,,,,0.2642,
