A,B,loss_A,loss_B,DM_paper_lag0,p_paper,DM_hac_lag31,p_hac,shrink,p_holm_paper,p_holm_hac
EXP,AT,0.351427,0.305643,6.767241,0.0,2.694426,0.007051,2.511571,0.0,0.274989
EXP,DAG,0.351427,0.327736,2.537619,0.011161,0.987959,0.323173,2.568547,0.170879,1.0
EXP,DSV,0.351427,0.350954,0.095774,0.9237,0.057181,0.954401,1.674933,1.0,1.0
EXP,IF,0.351427,0.310711,5.644921,0.0,2.156037,0.031081,2.618193,1e-06,1.0
EXP,OMNI,0.351427,0.312387,5.28702,0.0,1.733838,0.082947,3.049315,4e-06,1.0
EXP,OCS,0.351427,0.320614,4.463028,8e-06,1.63667,0.1017,2.726896,0.00021,1.0
EXP,TR,0.351427,0.338741,2.686432,0.007222,1.086654,0.27719,2.472205,0.129995,1.0
EXP,USAD,0.351427,0.370825,-2.255696,0.02409,-0.759709,0.447428,2.969156,0.289076,1.0
EXP,ENS,0.351427,0.288614,12.273529,0.0,4.417767,1e-05,2.77822,0.0,0.000439
AT,DAG,0.305643,0.327736,-2.887146,0.003888,-1.341352,0.179806,2.152415,0.073863,1.0
AT,DSV,0.305643,0.350954,-6.85513,0.0,-2.988,0.002808,2.29422,0.0,0.115132
AT,IF,0.305643,0.310711,-1.039726,0.298467,-0.463796,0.642794,2.241776,1.0,1.0
AT,OMNI,0.305643,0.312387,-1.104835,0.269231,-0.37031,0.711152,2.983542,1.0,1.0
AT,OCS,0.305643,0.320614,-2.034978,0.041853,-0.820158,0.412126,2.481202,0.418531,1.0
AT,TR,0.305643,0.338741,-4.898789,1e-06,-1.815685,0.069419,2.698039,2.6e-05,1.0
AT,USAD,0.305643,0.370825,-6.151087,0.0,-2.174497,0.029668,2.82874,0.0,1.0
AT,ENS,0.305643,0.288614,4.04927,5.1e-05,1.666385,0.095637,2.429973,0.001182,1.0
DAG,DSV,0.327736,0.350954,-2.537452,0.011166,-1.016905,0.309198,2.495269,0.170879,1.0
DAG,IF,0.327736,0.310711,2.472444,0.013419,1.201415,0.22959,2.057943,0.174451,1.0
DAG,OMNI,0.327736,0.312387,1.971871,0.048624,0.804926,0.420862,2.449754,0.437619,1.0
DAG,OCS,0.327736,0.320614,0.878496,0.379675,0.377564,0.705755,2.326747,1.0,1.0
DAG,TR,0.327736,0.338741,-1.204119,0.228544,-0.45669,0.647894,2.636624,1.0,1.0
DAG,USAD,0.327736,0.370825,-3.960034,7.5e-05,-1.412188,0.157895,2.804184,0.001649,1.0
DAG,ENS,0.327736,0.288614,6.171548,0.0,2.762385,0.005738,2.234138,0.0,0.229523
DSV,IF,0.350954,0.310711,5.706533,0.0,2.266872,0.023398,2.51736,0.0,0.865727
DSV,OMNI,0.350954,0.312387,5.276382,0.0,1.759557,0.078483,2.998699,4e-06,1.0
DSV,OCS,0.350954,0.320614,4.213897,2.5e-05,1.613452,0.106646,2.611727,0.000628,1.0
DSV,TR,0.350954,0.338741,2.553,0.01068,1.307277,0.191119,1.952915,0.170879,1.0
DSV,USAD,0.350954,0.370825,-2.166264,0.030291,-0.782956,0.433653,2.766776,0.333201,1.0
DSV,ENS,0.350954,0.288614,12.094269,0.0,4.84614,1e-06,2.49565,0.0,5.7e-05
IF,OMNI,0.310711,0.312387,-0.307507,0.758458,-0.10636,0.915297,2.89118,1.0,1.0
IF,OCS,0.310711,0.320614,-1.549719,0.121209,-0.646207,0.518146,2.398178,0.969673,1.0
IF,TR,0.310711,0.338741,-4.059554,4.9e-05,-1.451225,0.146717,2.797328,0.00118,1.0
IF,USAD,0.310711,0.370825,-5.266653,0.0,-1.871654,0.061254,2.813902,4e-06,1.0
IF,ENS,0.310711,0.288614,5.447877,0.0,2.224453,0.026118,2.449086,2e-06,0.940247
OMNI,OCS,0.312387,0.320614,-1.367962,0.171324,-0.529616,0.596378,2.582931,1.0,1.0
OMNI,TR,0.312387,0.338741,-3.643631,0.000269,-1.167514,0.243003,3.120845,0.005645,1.0
OMNI,USAD,0.312387,0.370825,-5.498196,0.0,-1.949116,0.051282,2.820867,1e-06,1.0
OMNI,ENS,0.312387,0.288614,5.503394,0.0,1.733695,0.082972,3.174373,1e-06,1.0
OCS,TR,0.320614,0.338741,-2.581417,0.00984,-0.911108,0.362238,2.833271,0.167273,1.0
OCS,USAD,0.320614,0.370825,-5.473076,0.0,-1.941554,0.052191,2.818915,1e-06,1.0
OCS,ENS,0.320614,0.288614,6.766175,0.0,2.62333,0.008707,2.579231,0.0,0.330884
TR,USAD,0.338741,0.370825,-3.530813,0.000414,-1.271522,0.203543,2.77684,0.008286,1.0
TR,ENS,0.338741,0.288614,10.557404,0.0,3.695362,0.00022,2.856934,0.0,0.009442
USAD,ENS,0.370825,0.288614,9.356944,0.0,3.227942,0.001247,2.898734,0.0,0.052367
