event,asset,n,n_pos,prevalence,AP_ENS,lift_ENS,AP_EXP,lift_EXP,AP_AT,lift_AT,AP_DAG,lift_DAG,AP_DSV,lift_DSV,AP_IF,lift_IF,AP_OMNI,lift_OMNI,AP_OCS,lift_OCS,AP_TR,lift_TR,AP_USAD,lift_USAD
COVID-19,USOIL,146,73,0.5,0.791925,0.291925,0.355121,-0.144879,0.906311,0.406311,0.908735,0.408735,0.459607,-0.040393,0.908053,0.408053,0.80924,0.30924,0.654455,0.154455,0.411054,-0.088946,0.32986,-0.17014
COVID-19,GOLD,146,73,0.5,0.84076,0.34076,0.747957,0.247957,0.838694,0.338694,0.543828,0.043828,0.6808,0.1808,0.793968,0.293968,0.696995,0.196995,0.851293,0.351293,0.791355,0.291355,0.49941,-0.00059
COVID-19,EURUSD,152,74,0.486842,0.573273,0.086431,0.490508,0.003665,0.70307,0.216228,0.393914,-0.092928,0.561186,0.074344,0.546255,0.059413,0.436539,-0.050303,0.455782,-0.03106,0.65986,0.173018,0.423303,-0.063539
Russia--Ukraine,USOIL,125,65,0.52,0.907934,0.387934,0.874142,0.354142,0.924021,0.404021,0.836435,0.316435,0.797094,0.277094,0.912276,0.392276,0.861939,0.341939,0.892425,0.372425,0.811365,0.291365,0.421148,-0.098852
Russia--Ukraine,GOLD,125,65,0.52,0.498082,-0.021918,0.486767,-0.033233,0.684618,0.164618,0.612897,0.092897,0.421074,-0.098926,0.696668,0.176668,0.589142,0.069142,0.491554,-0.028446,0.40998,-0.11002,0.443651,-0.076349
Russia--Ukraine,EURUSD,130,66,0.507692,0.569084,0.061392,0.515994,0.008302,0.516619,0.008926,0.501682,-0.00601,0.443063,-0.064629,0.501637,-0.006056,0.50526,-0.002432,0.543792,0.0361,0.516067,0.008375,0.508454,0.000761
Chinese,USOIL,147,70,0.47619,0.507814,0.031624,0.3946,-0.081591,0.496396,0.020205,0.46112,-0.015071,0.398828,-0.077362,0.501042,0.024852,0.596765,0.120574,0.701688,0.225498,0.354345,-0.121845,0.705286,0.229095
Chinese,GOLD,147,70,0.47619,0.420075,-0.056115,0.420687,-0.055503,0.425416,-0.050774,0.444559,-0.031631,0.387461,-0.088729,0.424096,-0.052095,0.61719,0.141,0.564323,0.088133,0.378906,-0.097284,0.533527,0.057336
Chinese,EURUSD,152,71,0.467105,0.394265,-0.07284,0.402961,-0.064144,0.477909,0.010804,0.44538,-0.021725,0.537598,0.070493,0.38393,-0.083175,0.353672,-0.113433,0.369642,-0.097463,0.520629,0.053524,0.455202,-0.011903
Iran 2025,USOIL,106,40,0.377358,0.705426,0.328068,0.526365,0.149006,0.353352,-0.024007,0.65754,0.280181,0.318781,-0.058578,0.684606,0.307248,0.697837,0.320479,0.730992,0.353634,0.603523,0.226165,0.249096,-0.128263
Iran 2025,GOLD,106,40,0.377358,0.266835,-0.110524,0.421791,0.044432,0.428687,0.051328,0.273764,-0.103594,0.37265,-0.004708,0.345691,-0.031668,0.263396,-0.113963,0.289845,-0.087513,0.326769,-0.050589,0.475871,0.098512
Iran 2025,EURUSD,107,41,0.383178,0.297322,-0.085855,0.271866,-0.111312,0.301125,-0.082053,0.302637,-0.080541,0.237226,-0.145952,0.279347,-0.10383,0.482466,0.099289,0.275983,-0.107195,0.346965,-0.036212,0.282344,-0.100834
Iran 2026,USOIL,37,18,0.486486,0.344487,-0.141999,0.312001,-0.174486,0.534002,0.047516,0.604475,0.117988,0.312001,-0.174486,0.377878,-0.108609,0.311945,-0.174541,0.445376,-0.04111,0.310944,-0.175542,0.461106,-0.02538
Iran 2026,GOLD,37,18,0.486486,0.312129,-0.174358,0.324153,-0.162334,0.394583,-0.091903,0.425587,-0.0609,0.331731,-0.154756,0.378069,-0.108418,0.311055,-0.175432,0.522633,0.036146,0.434843,-0.051643,0.477258,-0.009229
Iran 2026,EURUSD,41,20,0.487805,0.34902,-0.138784,0.31032,-0.177485,0.338828,-0.148977,0.417088,-0.070717,0.337899,-0.149906,0.358303,-0.129502,0.354944,-0.132861,0.635782,0.147977,0.712891,0.225087,0.476126,-0.011679
