event,asset,n,prevalence,AP_ENS,lift_ENS,rank_of_10,best_method,best_AP,gap_to_best
COVID-19,USOIL,146,0.5,0.791925,0.291925,5,DAG,0.908735,-0.11681
COVID-19,GOLD,146,0.5,0.84076,0.34076,2,OCS,0.851293,-0.010533
COVID-19,EURUSD,152,0.486842,0.573273,0.086431,3,AT,0.70307,-0.129797
Russia--Ukraine,USOIL,125,0.52,0.907934,0.387934,3,AT,0.924021,-0.016086
Russia--Ukraine,GOLD,125,0.52,0.498082,-0.021918,5,IF,0.696668,-0.198586
Russia--Ukraine,EURUSD,130,0.507692,0.569084,0.061392,1,ENS,0.569084,0.0
Chinese,USOIL,147,0.47619,0.507814,0.031624,4,USAD,0.705286,-0.197472
Chinese,GOLD,147,0.47619,0.420075,-0.056115,8,OMNI,0.61719,-0.197115
Chinese,EURUSD,152,0.467105,0.394265,-0.07284,7,DSV,0.537598,-0.143333
Iran 2025,USOIL,106,0.377358,0.705426,0.328068,2,OCS,0.730992,-0.025566
Iran 2025,GOLD,106,0.377358,0.266835,-0.110524,9,USAD,0.475871,-0.209036
Iran 2025,EURUSD,107,0.383178,0.297322,-0.085855,5,OMNI,0.482466,-0.185144
Iran 2026,USOIL,37,0.486486,0.344487,-0.141999,6,DAG,0.604475,-0.259988
Iran 2026,GOLD,37,0.486486,0.312129,-0.174358,9,OCS,0.522633,-0.210504
Iran 2026,EURUSD,41,0.487805,0.34902,-0.138784,7,TR,0.712891,-0.363871
