key,method,cells,mean_AP,sd_AP,mean_lift,cells_above_random,cells_best,mean_rank,best_rank,worst_rank
OCS,One-Class SVM,15,0.561704,0.185075,0.091525,9,3,4.133333,1,9
AT,Anomaly Transformer,15,0.554909,0.207092,0.084729,10,2,3.733333,1,8
IF,Isolation Forest,15,0.539455,0.209768,0.069275,7,1,4.933333,1,9
OMNI,OmniAnomaly,15,0.525892,0.188874,0.055713,8,2,5.933333,1,10
DAG,DAGMM,15,0.521976,0.178242,0.051796,6,2,5.266667,1,10
ENS,EnsembleExpoGAF,15,0.518562,0.208784,0.048383,7,1,5.066667,1,9
TR,TranAD,15,0.505967,0.170899,0.035787,7,1,5.8,1,10
EXP,ExpoGAF-AnoNet (core),15,0.457015,0.165439,-0.013164,6,0,6.966667,3,10
USAD,USAD,15,0.449443,0.108475,-0.020737,4,2,5.733333,1,10
DSV,Deep SVDD,15,0.4398,0.149713,-0.03038,4,1,7.433333,1,10
