episode,asset,n,n_pos,prevalence,window,rho_label_time,method,auc,pr_auc,rho_score_time
COVID-19,USOIL,146,74,0.506849,32,-0.312709,tadgan_max,0.630631,0.621465,-0.877836
COVID-19,USOIL,146,74,0.506849,32,-0.312709,tadgan_mean,0.591404,0.519153,-0.82711
COVID-19,USOIL,146,74,0.506849,32,-0.312709,time_index,0.319444,0.394615,1.0
COVID-19,GOLD,146,74,0.506849,32,-0.312709,tadgan_max,0.680556,0.558633,-0.999962
COVID-19,GOLD,146,74,0.506849,32,-0.312709,tadgan_mean,0.680556,0.557784,-1.0
COVID-19,GOLD,146,74,0.506849,32,-0.312709,time_index,0.319444,0.394615,1.0
COVID-19,EURUSD,152,75,0.493421,32,-0.258666,tadgan_max,0.729697,0.754962,-0.20132
COVID-19,EURUSD,152,75,0.493421,32,-0.258666,tadgan_mean,0.761212,0.788742,-0.652109
COVID-19,EURUSD,152,75,0.493421,32,-0.258666,time_index,0.350649,0.393121,1.0
Russia--Ukraine,USOIL,125,66,0.528,32,-0.307772,tadgan_max,0.322034,0.414048,0.999998
Russia--Ukraine,USOIL,125,66,0.528,32,-0.307772,tadgan_mean,0.322034,0.414048,1.0
Russia--Ukraine,USOIL,125,66,0.528,32,-0.307772,time_index,0.322034,0.414048,1.0
Russia--Ukraine,GOLD,125,66,0.528,32,-0.307772,tadgan_max,0.677966,0.57569,-0.996394
Russia--Ukraine,GOLD,125,66,0.528,32,-0.307772,tadgan_mean,0.677966,0.574516,-0.999515
Russia--Ukraine,GOLD,125,66,0.528,32,-0.307772,time_index,0.322034,0.414048,1.0
Russia--Ukraine,EURUSD,130,67,0.515385,32,-0.288547,tadgan_max,0.868515,0.884476,-0.817542
Russia--Ukraine,EURUSD,130,67,0.515385,32,-0.288547,tadgan_mean,0.833452,0.842581,-0.861798
Russia--Ukraine,EURUSD,130,67,0.515385,32,-0.288547,time_index,0.333333,0.406734,1.0
Chinese,USOIL,147,71,0.482993,32,-0.54666,tadgan_max,0.138714,0.335768,0.855756
Chinese,USOIL,147,71,0.482993,32,-0.54666,tadgan_mean,0.109526,0.316723,0.820369
Chinese,USOIL,147,71,0.482993,32,-0.54666,time_index,0.184211,0.337275,1.0
Chinese,GOLD,147,71,0.482993,32,-0.54666,tadgan_max,0.42689,0.510456,0.279169
Chinese,GOLD,147,71,0.482993,32,-0.54666,tadgan_mean,0.378614,0.40654,0.174576
Chinese,GOLD,147,71,0.482993,32,-0.54666,time_index,0.184211,0.337275,1.0
Chinese,EURUSD,152,72,0.473684,32,-0.518906,tadgan_max,0.975694,0.974244,-0.772882
Chinese,EURUSD,152,72,0.473684,32,-0.518906,tadgan_mean,0.983507,0.98236,-0.720364
Chinese,EURUSD,152,72,0.473684,32,-0.518906,time_index,0.2,0.333643,1.0
Iran 2025,USOIL,106,41,0.386792,32,-0.350407,tadgan_max,0.290994,0.343401,0.901564
Iran 2025,USOIL,106,41,0.386792,32,-0.350407,tadgan_mean,0.099062,0.24175,0.63697
Iran 2025,USOIL,106,41,0.386792,32,-0.350407,time_index,0.292308,0.290733,1.0
Iran 2025,GOLD,106,41,0.386792,32,-0.350407,tadgan_max,0.296623,0.37503,0.982879
Iran 2025,GOLD,106,41,0.386792,32,-0.350407,tadgan_mean,0.293809,0.290781,0.988594
Iran 2025,GOLD,106,41,0.386792,32,-0.350407,time_index,0.292308,0.290733,1.0
Iran 2025,EURUSD,107,42,0.392523,32,-0.35134,tadgan_max,0.368498,0.418337,0.823708
Iran 2025,EURUSD,107,42,0.392523,32,-0.35134,tadgan_mean,0.447253,0.340281,0.637023
Iran 2025,EURUSD,107,42,0.392523,32,-0.35134,time_index,0.292308,0.295175,1.0
Iran 2026,USOIL,37,18,0.486486,32,0.866025,tadgan_max,1.0,1.0,1.0
Iran 2026,USOIL,37,18,0.486486,32,0.866025,tadgan_mean,1.0,1.0,1.0
Iran 2026,USOIL,37,18,0.486486,32,0.866025,time_index,1.0,1.0,1.0
Iran 2026,GOLD,37,18,0.486486,32,0.866025,tadgan_max,0.736842,0.642857,0.750138
Iran 2026,GOLD,37,18,0.486486,32,0.866025,tadgan_mean,0.593567,0.648564,0.141062
Iran 2026,GOLD,37,18,0.486486,32,0.866025,time_index,1.0,1.0,1.0
Iran 2026,EURUSD,41,20,0.487805,32,0.866025,tadgan_max,0.25,0.371818,-0.753621
Iran 2026,EURUSD,41,20,0.487805,32,0.866025,tadgan_mean,0.028571,0.312032,-0.743206
Iran 2026,EURUSD,41,20,0.487805,32,0.866025,time_index,1.0,1.0,1.0
