episode,asset,method,mapping,n_windows,n_positive,n_negative,prevalence,auc,pr_auc,pr_auc_random,rank_metrics_valid,shipped_TP,shipped_FP,shipped_FN,shipped_TN,shipped_precision,shipped_recall,shipped_f1,shipped_balanced_acc,shipped_accuracy,shipped_fpr,far_tau,far_control,matched_TP,matched_FP,matched_FN,matched_TN,matched_precision,matched_recall,matched_f1,matched_balanced_acc,matched_accuracy,matched_fpr
COVID-19,USOIL,anomaly_transformer,exponential,146,73,73,0.5,0.891,0.9063,0.5,True,24,1,49,72,0.96,0.3288,0.4898,0.6575,0.6575,0.0137,0.011,0.0938,9.0,0.0,64.0,73.0,1.0,0.1233,0.2195,0.5616,0.5616,0.0
COVID-19,GOLD,anomaly_transformer,exponential,146,73,73,0.5,0.7979,0.8387,0.5,True,28,0,45,73,1.0,0.3836,0.5545,0.6918,0.6918,0.0,0.0016,0.0938,28.0,1.0,45.0,72.0,0.9655,0.3836,0.549,0.6849,0.6849,0.0137
COVID-19,EURUSD,anomaly_transformer,exponential,152,74,78,0.4868,0.6878,0.7031,0.4868,True,32,10,42,68,0.7619,0.4324,0.5517,0.6521,0.6579,0.1282,0.0033,0.0985,20.0,4.0,54.0,74.0,0.8333,0.2703,0.4082,0.6095,0.6184,0.0513
COVID-19,USOIL,autoencoder,exponential,146,73,73,0.5,0.4509,0.4489,0.5,True,25,31,48,42,0.4464,0.3425,0.3876,0.4589,0.4589,0.4247,0.3026,0.0938,0.0,0.0,73.0,73.0,,0.0,,0.5,0.5,0.0
COVID-19,GOLD,autoencoder,exponential,146,73,73,0.5,0.7825,0.762,0.5,True,54,22,19,51,0.7105,0.7397,0.7248,0.7192,0.7192,0.3014,,,,,,,,,,,,
COVID-19,EURUSD,autoencoder,exponential,152,74,78,0.4868,0.6549,0.5891,0.4868,True,34,24,40,54,0.5862,0.4595,0.5152,0.5759,0.5789,0.3077,,,,,,,,,,,,
COVID-19,USOIL,cnn_autoencoder,exponential,146,73,73,0.5,0.3612,0.4009,0.5,True,0,4,73,69,0.0,0.0,,0.4726,0.4726,0.0548,0.0295,0.0938,0.0,0.0,73.0,73.0,,0.0,,0.5,0.5,0.0
COVID-19,GOLD,cnn_autoencoder,exponential,146,73,73,0.5,0.7377,0.6484,0.5,True,10,13,63,60,0.4348,0.137,0.2083,0.4795,0.4795,0.1781,,,,,,,,,,,,
COVID-19,EURUSD,cnn_autoencoder,exponential,152,74,78,0.4868,0.593,0.563,0.4868,True,6,3,68,75,0.6667,0.0811,0.1446,0.5213,0.5329,0.0385,,,,,,,,,,,,
COVID-19,USOIL,dagmm,exponential,146,73,73,0.5,0.8831,0.9087,0.5,True,40,1,33,72,0.9756,0.5479,0.7018,0.7671,0.7671,0.0137,10.8457,0.0938,8.0,0.0,65.0,73.0,1.0,0.1096,0.1975,0.5548,0.5548,0.0
COVID-19,GOLD,dagmm,exponential,146,73,73,0.5,0.419,0.5438,0.5,True,5,0,68,73,1.0,0.0685,0.1282,0.5342,0.5342,0.0,2.6027,0.0938,0.0,0.0,73.0,73.0,,0.0,,0.5,0.5,0.0
COVID-19,EURUSD,dagmm,exponential,152,74,78,0.4868,0.3638,0.3939,0.4868,True,10,28,64,50,0.2632,0.1351,0.1786,0.3881,0.3947,0.359,1.7849,0.0985,3.0,22.0,71.0,56.0,0.12,0.0405,0.0606,0.3792,0.3882,0.2821
COVID-19,USOIL,deep_svdd,exponential,146,73,73,0.5,0.4629,0.4596,0.5,True,14,16,59,57,0.4667,0.1918,0.2718,0.4863,0.4863,0.2192,0.001,0.0938,19.0,27.0,54.0,46.0,0.413,0.2603,0.3193,0.4452,0.4452,0.3699
COVID-19,GOLD,deep_svdd,exponential,146,73,73,0.5,0.7504,0.6808,0.5,True,38,17,35,56,0.6909,0.5205,0.5938,0.6438,0.6438,0.2329,0.0008,0.0938,36.0,16.0,37.0,57.0,0.6923,0.4932,0.576,0.637,0.637,0.2192
COVID-19,EURUSD,deep_svdd,exponential,152,74,78,0.4868,0.6175,0.5612,0.4868,True,17,14,57,64,0.5484,0.2297,0.3238,0.5251,0.5329,0.1795,0.0005,0.0985,29.0,24.0,45.0,54.0,0.5472,0.3919,0.4567,0.5421,0.5461,0.3077
COVID-19,USOIL,hybrid2,arccosh,146,73,73,0.5,0.7819,0.811,0.5,True,25,1,48,72,0.9615,0.3425,0.5051,0.6644,0.6644,0.0137,0.0452,0.0938,0.0,0.0,73.0,73.0,,0.0,,0.5,0.5,0.0
COVID-19,GOLD,hybrid2,arccosh,146,73,73,0.5,0.6892,0.6052,0.5,True,15,10,58,63,0.6,0.2055,0.3061,0.5342,0.5342,0.137,0.1531,0.0938,0.0,0.0,73.0,73.0,,0.0,,0.5,0.5,0.0
COVID-19,EURUSD,hybrid2,arccosh,152,74,78,0.4868,0.5968,0.5641,0.4868,True,13,8,61,70,0.619,0.1757,0.2737,0.5366,0.5461,0.1026,0.024,0.0985,7.0,6.0,67.0,72.0,0.5385,0.0946,0.1609,0.5088,0.5197,0.0769
