episode,asset,window,seed,mapping,auc,prauc,n_train,n_test,prevalence,n_eff,epochs,img_size
covid,USOIL,16,0,exponential,0.66673197492163,0.6407717029432707,983,146,0.3972602739726027,9.125,10,32
covid,USOIL,32,0,exponential,0.5427927927927928,0.5833889110048851,983,146,0.5068493150684932,4.5625,10,32
covid,USOIL,64,0,exponential,0.299389859036398,0.6356565150811964,974,146,0.6643835616438356,2.28125,10,32
covid,GOLD,16,0,exponential,0.5769984326018809,0.5157198988532189,982,146,0.3972602739726027,9.125,10,32
covid,GOLD,32,0,exponential,0.7924174174174174,0.7928828855696263,982,146,0.5068493150684932,4.5625,10,32
covid,GOLD,64,0,exponential,0.8878602987586789,0.945385888333102,973,146,0.6643835616438356,2.28125,10,32
covid,EURUSD,16,0,exponential,0.373428102788409,0.3328113614373605,1018,152,0.3881578947368421,9.5,10,32
covid,EURUSD,32,0,exponential,0.6535064935064936,0.5920444717835638,1018,152,0.4934210526315789,4.75,10,32
covid,EURUSD,64,0,exponential,0.8203921568627451,0.9211876656289824,1013,152,0.6710526315789473,2.375,10,32
russia,USOIL,16,0,exponential,0.7141333333333333,0.5801532503572477,1487,125,0.4,7.8125,10,32
russia,USOIL,32,0,exponential,0.5210580380071906,0.6280068662213776,1487,125,0.528,3.90625,10,32
russia,USOIL,64,0,exponential,0.8191176470588234,0.923674924584888,1474,125,0.68,1.953125,10,32
russia,GOLD,16,0,exponential,0.3752,0.4012650633991874,1486,125,0.4,7.8125,10,32
russia,GOLD,32,0,exponential,0.4265536723163842,0.4706591193954175,1486,125,0.528,3.90625,10,32
russia,GOLD,64,0,exponential,0.575,0.7016508042097636,1473,125,0.68,1.953125,10,32
russia,EURUSD,16,0,exponential,0.4887068751551254,0.4313320055301713,1540,130,0.3923076923076923,8.125,10,32
russia,EURUSD,32,0,exponential,0.3927979151859749,0.5409527359613795,1540,130,0.5153846153846153,4.0625,10,32
russia,EURUSD,64,0,exponential,0.4494047619047619,0.660306514085591,1529,130,0.676923076923077,2.03125,10,32
iran2025,USOIL,16,0,exponential,0.4928395061728395,0.2864997049619213,2323,106,0.2358490566037736,6.625,10,32
iran2025,USOIL,32,0,exponential,0.3264540337711069,0.2993197558563055,2323,106,0.3867924528301887,3.3125,10,32
iran2025,USOIL,64,0,exponential,0.7177536231884059,0.8270522430495152,2310,106,0.5660377358490566,1.65625,10,32
iran2025,GOLD,16,0,exponential,0.5590123456790124,0.2554813256660551,2322,106,0.2358490566037736,6.625,10,32
iran2025,GOLD,32,0,exponential,0.6090056285178236,0.41629527052934,2322,106,0.3867924528301887,3.3125,10,32
iran2025,GOLD,64,0,exponential,0.8989130434782608,0.9489136197806768,2309,106,0.5660377358490566,1.65625,10,32
iran2025,EURUSD,16,0,exponential,0.1652421652421652,0.1510774710090924,2408,107,0.2429906542056074,6.6875,10,32
iran2025,EURUSD,32,0,exponential,0.1787545787545787,0.2713783105221789,2408,107,0.3925233644859813,3.34375,10,32
iran2025,EURUSD,64,0,exponential,0.4468995010691375,0.6545297765320068,2395,107,0.5700934579439252,1.671875,10,32
