kind,reduce,episode,asset,seed,auc,n_train,n_test,prevalence,epochs,window,signal
time_index,position,covid,USOIL,0,0.3150684931506849,884,146,0.5,0,32,100
lstm,mean,covid,USOIL,0,0.4800150121974104,884,146,0.5,40,32,100
lstm,max,covid,USOIL,0,0.6087446049915557,884,146,0.5,40,32,100
lstm,mean,covid,USOIL,1,0.4865828485644586,884,146,0.5,40,32,100
lstm,max,covid,USOIL,1,0.6128729592794145,884,146,0.5,40,32,100
lstm,mean,covid,USOIL,2,0.4835804090823794,884,146,0.5,40,32,100
lstm,max,covid,USOIL,2,0.6098705197973353,884,146,0.5,40,32,100
gru,mean,covid,USOIL,0,0.20829423906924377,884,146,0.5,40,32,100
gru,max,covid,USOIL,0,0.2203039969975605,884,146,0.5,40,32,100
gru,mean,covid,USOIL,1,0.19684743854381684,884,146,0.5,40,32,100
gru,max,covid,USOIL,1,0.2233064364796397,884,146,0.5,40,32,100
gru,mean,covid,USOIL,2,0.1985363107524864,884,146,0.5,40,32,100
gru,max,covid,USOIL,2,0.21880277725652092,884,146,0.5,40,32,100
linear,mean,covid,USOIL,0,0.11033965096641021,884,146,0.5,40,32,100
linear,max,covid,USOIL,0,0.14693188215425032,884,146,0.5,40,32,100
linear,mean,covid,USOIL,1,0.14674422968662038,884,146,0.5,40,32,100
linear,max,covid,USOIL,1,0.20369675361231,884,146,0.5,40,32,100
linear,mean,covid,USOIL,2,0.10846312629011072,884,146,0.5,40,32,100
linear,max,covid,USOIL,2,0.13876899981234753,884,146,0.5,40,32,100
time_index,position,covid,GOLD,0,0.3150684931506849,883,146,0.5,0,32,100
lstm,mean,covid,GOLD,0,0.4980296490898855,883,146,0.5,40,32,100
lstm,max,covid,GOLD,0,0.4017639331957215,883,146,0.5,40,32,100
lstm,mean,covid,GOLD,1,0.49427659973728655,883,146,0.5,40,32,100
lstm,max,covid,GOLD,1,0.40251454306624135,883,146,0.5,40,32,100
lstm,mean,covid,GOLD,2,0.4899605929817977,883,146,0.5,40,32,100
lstm,max,covid,GOLD,2,0.3861887783824357,883,146,0.5,40,32,100
gru,mean,covid,GOLD,0,0.3291424282229311,883,146,0.5,40,32,100
gru,max,covid,GOLD,0,0.35503846875586414,883,146,0.5,40,32,100
gru,mean,covid,GOLD,1,0.3398386188778382,883,146,0.5,40,32,100
gru,max,covid,GOLD,1,0.36911240382811034,883,146,0.5,40,32,100
gru,mean,covid,GOLD,2,0.33608556952523927,883,146,0.5,40,32,100
gru,max,covid,GOLD,2,0.3681741414899606,883,146,0.5,40,32,100
linear,mean,covid,GOLD,0,0.4274723212610246,883,146,0.5,40,32,100
linear,max,covid,GOLD,0,0.6662600863201351,883,146,0.5,40,32,100
linear,mean,covid,GOLD,1,0.3995121035841621,883,146,0.5,40,32,100
linear,max,covid,GOLD,1,0.6151247888909739,883,146,0.5,40,32,100
linear,mean,covid,GOLD,2,0.43647963970726217,883,146,0.5,40,32,100
linear,max,covid,GOLD,2,0.6671045224244699,883,146,0.5,40,32,100
time_index,position,covid,EURUSD,0,0.34615384615384615,919,152,0.4868421052631579,0,32,100
lstm,mean,covid,EURUSD,0,0.2895010395010395,919,152,0.4868421052631579,40,32,100
lstm,max,covid,EURUSD,0,0.5157657657657657,919,152,0.4868421052631579,40,32,100
lstm,mean,covid,EURUSD,1,0.2901940401940402,919,152,0.4868421052631579,40,32,100
lstm,max,covid,EURUSD,1,0.532051282051282,919,152,0.4868421052631579,40,32,100
lstm,mean,covid,EURUSD,2,0.28638253638253636,919,152,0.4868421052631579,40,32,100
lstm,max,covid,EURUSD,2,0.5034650034650034,919,152,0.4868421052631579,40,32,100
gru,mean,covid,EURUSD,0,0.05076230076230076,919,152,0.4868421052631579,40,32,100
gru,max,covid,EURUSD,0,0.0751039501039501,919,152,0.4868421052631579,40,32,100
gru,mean,covid,EURUSD,1,0.04937629937629938,919,152,0.4868421052631579,40,32,100
gru,max,covid,EURUSD,1,0.1633749133749134,919,152,0.4868421052631579,40,32,100
gru,mean,covid,EURUSD,2,0.0524948024948025,919,152,0.4868421052631579,40,32,100
gru,max,covid,EURUSD,2,0.16727304227304227,919,152,0.4868421052631579,40,32,100
linear,mean,covid,EURUSD,0,0.07363132363132363,919,152,0.4868421052631579,40,32,100
linear,max,covid,EURUSD,0,0.45148995148995147,919,152,0.4868421052631579,40,32,100
linear,mean,covid,EURUSD,1,0.057692307692307696,919,152,0.4868421052631579,40,32,100
linear,max,covid,EURUSD,1,0.3128898128898129,919,152,0.4868421052631579,40,32,100
linear,mean,covid,EURUSD,2,0.03620928620928621,919,152,0.4868421052631579,40,32,100
linear,max,covid,EURUSD,2,0.3154019404019404,919,152,0.4868421052631579,40,32,100
time_index,position,russia,USOIL,0,0.31666666666666665,1388,125,0.52,0,32,100
lstm,mean,russia,USOIL,0,0.3748717948717949,1388,125,0.52,40,32,100
lstm,max,russia,USOIL,0,0.4480769230769231,1388,125,0.52,40,32,100
lstm,mean,russia,USOIL,1,0.33487179487179486,1388,125,0.52,40,32,100
lstm,max,russia,USOIL,1,0.41628205128205126,1388,125,0.52,40,32,100
lstm,mean,russia,USOIL,2,0.3587179487179487,1388,125,0.52,40,32,100
lstm,max,russia,USOIL,2,0.43858974358974356,1388,125,0.52,40,32,100
gru,mean,russia,USOIL,0,0.4558974358974359,1388,125,0.52,40,32,100
gru,max,russia,USOIL,0,0.4687179487179487,1388,125,0.52,40,32,100
gru,mean,russia,USOIL,1,0.4328205128205128,1388,125,0.52,40,32,100
gru,max,russia,USOIL,1,0.43153846153846154,1388,125,0.52,40,32,100
gru,mean,russia,USOIL,2,0.4376923076923077,1388,125,0.52,40,32,100
gru,max,russia,USOIL,2,0.4666666666666667,1388,125,0.52,40,32,100
linear,mean,russia,USOIL,0,0.04948717948717949,1388,125,0.52,40,32,100
linear,max,russia,USOIL,0,0.105,1388,125,0.52,40,32,100
linear,mean,russia,USOIL,1,0.03641025641025641,1388,125,0.52,40,32,100
linear,max,russia,USOIL,1,0.08897435897435897,1388,125,0.52,40,32,100
linear,mean,russia,USOIL,2,0.02717948717948718,1388,125,0.52,40,32,100
linear,max,russia,USOIL,2,0.07435897435897436,1388,125,0.52,40,32,100
time_index,position,russia,GOLD,0,0.31666666666666665,1387,125,0.52,0,32,100
lstm,mean,russia,GOLD,0,0.09871794871794871,1387,125,0.52,40,32,100
lstm,max,russia,GOLD,0,0.19435897435897437,1387,125,0.52,40,32,100
lstm,mean,russia,GOLD,1,0.09717948717948718,1387,125,0.52,40,32,100
lstm,max,russia,GOLD,1,0.1858974358974359,1387,125,0.52,40,32,100
lstm,mean,russia,GOLD,2,0.09564102564102564,1387,125,0.52,40,32,100
lstm,max,russia,GOLD,2,0.22564102564102564,1387,125,0.52,40,32,100
gru,mean,russia,GOLD,0,0.09487179487179487,1387,125,0.52,40,32,100
gru,max,russia,GOLD,0,0.062051282051282054,1387,125,0.52,40,32,100
gru,mean,russia,GOLD,1,0.12666666666666668,1387,125,0.52,40,32,100
gru,max,russia,GOLD,1,0.015384615384615385,1387,125,0.52,40,32,100
gru,mean,russia,GOLD,2,0.07948717948717948,1387,125,0.52,40,32,100
gru,max,russia,GOLD,2,0.16692307692307692,1387,125,0.52,40,32,100
linear,mean,russia,GOLD,0,0.301025641025641,1387,125,0.52,40,32,100
linear,max,russia,GOLD,0,0.09064102564102564,1387,125,0.52,40,32,100
linear,mean,russia,GOLD,1,0.308974358974359,1387,125,0.52,40,32,100
linear,max,russia,GOLD,1,0.3984615384615385,1387,125,0.52,40,32,100
linear,mean,russia,GOLD,2,0.36923076923076925,1387,125,0.52,40,32,100
linear,max,russia,GOLD,2,0.08628205128205128,1387,125,0.52,40,32,100
time_index,position,russia,EURUSD,0,0.328125,1441,130,0.5076923076923077,0,32,100
lstm,mean,russia,EURUSD,0,0.9171401515151515,1441,130,0.5076923076923077,40,32,100
lstm,max,russia,EURUSD,0,0.9311079545454546,1441,130,0.5076923076923077,40,32,100
lstm,mean,russia,EURUSD,1,0.9277935606060606,1441,130,0.5076923076923077,40,32,100
lstm,max,russia,EURUSD,1,0.9481534090909091,1441,130,0.5076923076923077,40,32,100
lstm,mean,russia,EURUSD,2,0.8570075757575758,1441,130,0.5076923076923077,40,32,100
lstm,max,russia,EURUSD,2,0.7888257575757576,1441,130,0.5076923076923077,40,32,100
gru,mean,russia,EURUSD,0,0.9277935606060606,1441,130,0.5076923076923077,40,32,100
gru,max,russia,EURUSD,0,0.9685132575757576,1441,130,0.5076923076923077,40,32,100
gru,mean,russia,EURUSD,1,0.9287405303030303,1441,130,0.5076923076923077,40,32,100
gru,max,russia,EURUSD,1,0.9325284090909091,1441,130,0.5076923076923077,40,32,100
gru,mean,russia,EURUSD,2,0.9034090909090909,1441,130,0.5076923076923077,40,32,100
gru,max,russia,EURUSD,2,0.8934659090909091,1441,130,0.5076923076923077,40,32,100
linear,mean,russia,EURUSD,0,0.9348958333333334,1441,130,0.5076923076923077,40,32,100
linear,max,russia,EURUSD,0,0.892282196969697,1441,130,0.5076923076923077,40,32,100
linear,mean,russia,EURUSD,1,0.9192708333333334,1441,130,0.5076923076923077,40,32,100
linear,max,russia,EURUSD,1,0.8915719696969697,1441,130,0.5076923076923077,40,32,100
linear,mean,russia,EURUSD,2,0.9348958333333334,1441,130,0.5076923076923077,40,32,100
linear,max,russia,EURUSD,2,0.8993844696969697,1441,130,0.5076923076923077,40,32,100
time_index,position,chinese,USOIL,0,0.18181818181818182,1764,147,0.47619047619047616,0,32,100
lstm,mean,chinese,USOIL,0,0.43896103896103894,1764,147,0.47619047619047616,40,32,100
lstm,max,chinese,USOIL,0,0.5208719851576994,1764,147,0.47619047619047616,40,32,100
lstm,mean,chinese,USOIL,1,0.42467532467532465,1764,147,0.47619047619047616,40,32,100
lstm,max,chinese,USOIL,1,0.3484230055658627,1764,147,0.47619047619047616,40,32,100
lstm,mean,chinese,USOIL,2,0.44174397031539886,1764,147,0.47619047619047616,40,32,100
lstm,max,chinese,USOIL,2,0.5256029684601113,1764,147,0.47619047619047616,40,32,100
gru,mean,chinese,USOIL,0,0.5385899814471243,1764,147,0.47619047619047616,40,32,100
gru,max,chinese,USOIL,0,0.6257884972170686,1764,147,0.47619047619047616,40,32,100
gru,mean,chinese,USOIL,1,0.5183673469387755,1764,147,0.47619047619047616,40,32,100
gru,max,chinese,USOIL,1,0.6352504638218924,1764,147,0.47619047619047616,40,32,100
gru,mean,chinese,USOIL,2,0.5181818181818182,1764,147,0.47619047619047616,40,32,100
gru,max,chinese,USOIL,2,0.6064007421150278,1764,147,0.47619047619047616,40,32,100
linear,mean,chinese,USOIL,0,0.47291280148423004,1764,147,0.47619047619047616,40,32,100
linear,max,chinese,USOIL,0,0.6094619666048238,1764,147,0.47619047619047616,40,32,100
linear,mean,chinese,USOIL,1,0.47717996289424863,1764,147,0.47619047619047616,40,32,100
linear,max,chinese,USOIL,1,0.6021335807050093,1764,147,0.47619047619047616,40,32,100
linear,mean,chinese,USOIL,2,0.4923933209647495,1764,147,0.47619047619047616,40,32,100
linear,max,chinese,USOIL,2,0.6120593692022264,1764,147,0.47619047619047616,40,32,100
time_index,position,chinese,GOLD,0,0.18181818181818182,1763,147,0.47619047619047616,0,32,100
lstm,mean,chinese,GOLD,0,0.4818181818181818,1763,147,0.47619047619047616,40,32,100
lstm,max,chinese,GOLD,0,0.44823747680890536,1763,147,0.47619047619047616,40,32,100
lstm,mean,chinese,GOLD,1,0.4701298701298701,1763,147,0.47619047619047616,40,32,100
