event,asset,method,n_windows,n_independent,auc_reported,se_if_all_independent,subsets_used,auc_mean_over_subsets,auc_sd_over_subsets,auc_min,auc_max,inflation
COVID-19,USOIL,anomaly_transformer,146,4,0.890974,0.02767,32,0.872396,0.167985,0.5,1.0,6.07095
COVID-19,USOIL,autoencoder,146,4,0.450929,0.047664,32,0.317708,0.237065,0.0,0.75,4.973697
COVID-19,USOIL,cnn_autoencoder,146,4,0.361231,0.04567,32,0.28125,0.19486,0.0,0.5,4.266651
COVID-19,USOIL,dagmm,146,4,0.883093,0.028627,32,0.916667,0.125224,0.666667,1.0,4.3743
COVID-19,USOIL,deep_svdd,146,4,0.462939,0.047785,32,0.351562,0.264147,0.0,0.833333,5.527851
COVID-19,USOIL,hybrid2,146,4,0.222931,0.038505,32,0.166667,0.155543,0.0,0.5,4.039548
COVID-19,USOIL,isolation_forest,146,4,0.88647,0.028222,32,0.864583,0.146265,0.666667,1.0,5.182651
COVID-19,USOIL,omnianomaly,146,4,0.733909,0.041328,32,0.755208,0.250392,0.166667,1.0,6.058696
COVID-19,USOIL,one_class_svm,146,4,0.510978,0.047931,32,0.513021,0.267831,0.0,1.0,5.587835
COVID-19,USOIL,standalone_fanogan,146,4,0.222931,0.038505,32,0.166667,0.155543,0.0,0.5,4.039548
COVID-19,USOIL,tranad,146,4,0.396322,0.046682,32,0.278646,0.195845,0.0,0.5,4.195305
COVID-19,USOIL,usad,146,4,0.069056,0.022067,32,0.075521,0.132794,0.0,0.5,6.017875
COVID-19,USOIL,vae,146,4,0.778945,0.038369,32,0.747396,0.16865,0.5,1.0,4.395502
COVID-19,GOLD,anomaly_transformer,146,4,0.797898,0.036925,32,0.755208,0.226926,0.333333,1.0,6.145557
COVID-19,GOLD,autoencoder,146,4,0.782511,0.038107,32,0.799479,0.14946,0.666667,1.0,3.922161
COVID-19,GOLD,cnn_autoencoder,146,4,0.737662,0.041105,32,0.796875,0.156887,0.666667,1.0,3.816749
COVID-19,GOLD,dagmm,146,4,0.419028,0.047177,32,0.427083,0.282993,0.0,1.0,5.998581
COVID-19,GOLD,deep_svdd,146,4,0.750422,0.040316,32,0.78125,0.175505,0.333333,1.0,4.353231
COVID-19,GOLD,hybrid2,146,4,0.754926,0.040026,32,0.770833,0.156976,0.5,1.0,3.921887
COVID-19,GOLD,isolation_forest,146,4,0.775943,0.038586,32,0.736979,0.266994,0.166667,1.0,6.919411
COVID-19,GOLD,omnianomaly,146,4,0.70107,0.043104,32,0.682292,0.284326,0.166667,1.0,6.596335
COVID-19,GOLD,one_class_svm,146,4,0.80897,0.036022,32,0.807292,0.223444,0.333333,1.0,6.202901
COVID-19,GOLD,standalone_fanogan,146,4,0.754926,0.040026,32,0.770833,0.156976,0.5,1.0,3.921887
COVID-19,GOLD,tranad,146,4,0.813098,0.035674,32,0.835938,0.150394,0.666667,1.0,4.21578
COVID-19,GOLD,usad,146,4,0.504597,0.047943,32,0.523438,0.194266,0.0,0.833333,4.05205
COVID-19,GOLD,vae,146,4,0.841809,0.033062,32,0.835938,0.201344,0.333333,1.0,6.089969
COVID-19,EURUSD,anomaly_transformer,152,4,0.687803,0.043019,32,0.65625,0.313774,0.0,1.0,7.293772
COVID-19,EURUSD,autoencoder,152,4,0.654886,0.044336,32,0.635417,0.337175,0.0,1.0,7.605019
COVID-19,EURUSD,cnn_autoencoder,152,4,0.593035,0.046079,32,0.630208,0.321662,0.0,1.0,6.980699
COVID-19,EURUSD,dagmm,152,4,0.363825,0.044744,32,0.40625,0.267531,0.0,1.0,5.979202
COVID-19,EURUSD,deep_svdd,152,4,0.617464,0.045501,32,0.588542,0.31675,0.0,1.0,6.961323
COVID-19,EURUSD,hybrid2,152,4,0.556133,0.046684,32,0.546875,0.333963,0.0,1.0,7.153722
COVID-19,EURUSD,isolation_forest,152,4,0.585586,0.046227,32,0.583333,0.296334,0.166667,1.0,6.410448
