episode,asset,seed,mapping,window,auc,prauc,n_train,n_test,prevalence,n_eff,epochs
covid,USOIL,0,exponential,32,0.0850225225225225,0.3257831761168107,983,146,0.5068493150684932,4.5625,20
covid,USOIL,1,exponential,32,0.3258258258258258,0.3930910071956118,983,146,0.5068493150684932,4.5625,20
covid,USOIL,2,exponential,32,0.2865990990990991,0.3801764680188392,983,146,0.5068493150684932,4.5625,20
covid,USOIL,3,exponential,32,0.3156906906906906,0.3917400214579777,983,146,0.5068493150684932,4.5625,20
covid,USOIL,4,exponential,32,0.5133258258258259,0.5789374581943132,983,146,0.5068493150684932,4.5625,20
covid,GOLD,0,exponential,32,0.711524024024024,0.7194735424035391,982,146,0.5068493150684932,4.5625,20
covid,GOLD,1,exponential,32,0.7569444444444444,0.7627625947301151,982,146,0.5068493150684932,4.5625,20
covid,GOLD,2,exponential,32,0.7691441441441441,0.7831994273094288,982,146,0.5068493150684932,4.5625,20
covid,GOLD,3,exponential,32,0.762575075075075,0.7703436810787014,982,146,0.5068493150684932,4.5625,20
covid,GOLD,4,exponential,32,0.795045045045045,0.7990639285564197,982,146,0.5068493150684932,4.5625,20
covid,EURUSD,0,exponential,32,0.5305627705627706,0.4772965650959767,1018,152,0.4934210526315789,4.75,20
covid,EURUSD,1,exponential,32,0.6083116883116884,0.545197678381299,1018,152,0.4934210526315789,4.75,20
covid,EURUSD,2,exponential,32,0.6455411255411255,0.569645850097405,1018,152,0.4934210526315789,4.75,20
covid,EURUSD,3,exponential,32,0.6299567099567099,0.548171287504086,1018,152,0.4934210526315789,4.75,20
covid,EURUSD,4,exponential,32,0.6275324675324675,0.545664754576975,1018,152,0.4934210526315789,4.75,20
russia,USOIL,0,exponential,32,0.5695942475603493,0.7005494128851215,1487,125,0.528,3.90625,20
russia,USOIL,1,exponential,32,0.8186954288649204,0.87242106517417,1487,125,0.528,3.90625,20
russia,USOIL,2,exponential,32,0.8271700051361068,0.8859057053531305,1487,125,0.528,3.90625,20
russia,USOIL,3,exponential,32,0.7609142270159219,0.8376938868524304,1487,125,0.528,3.90625,20
russia,USOIL,4,exponential,32,0.8256291730868002,0.871347750193052,1487,125,0.528,3.90625,20
russia,GOLD,0,exponential,32,0.3364149974319466,0.4321166249027359,1486,125,0.528,3.90625,20
russia,GOLD,1,exponential,32,0.3895737031330251,0.4438303135343794,1486,125,0.528,3.90625,20
russia,GOLD,2,exponential,32,0.4034411915767848,0.4701986824896145,1486,125,0.528,3.90625,20
russia,GOLD,3,exponential,32,0.3505392912172573,0.44196848999567834,1486,125,0.528,3.90625,20
russia,GOLD,4,exponential,32,0.4252696456086287,0.47056457905383775,1486,125,0.528,3.90625,20
russia,EURUSD,0,exponential,32,0.3975361288794125,0.501918889263956,1540,130,0.5153846153846153,4.0625,20
russia,EURUSD,1,exponential,32,0.3994314143567875,0.5039495056461041,1540,130,0.5153846153846153,4.0625,20
russia,EURUSD,2,exponential,32,0.3991945036721156,0.4885821052063937,1540,130,0.5153846153846153,4.0625,20
russia,EURUSD,3,exponential,32,0.38047855958303717,0.45653877043603197,1540,130,0.5153846153846153,4.0625,20
russia,EURUSD,4,exponential,32,0.41554134091447525,0.49542099463216993,1540,130,0.5153846153846153,4.0625,20
chinese,USOIL,0,exponential,32,0.4907338769458858,0.47707590941867006,1863,147,0.48299319727891155,4.59375,20
chinese,USOIL,1,exponential,32,0.3304299481097109,0.37659276388261714,1863,147,0.48299319727891155,4.59375,20
chinese,USOIL,2,exponential,32,0.3328391401037806,0.38019380123937135,1863,147,0.48299319727891155,4.59375,20
chinese,USOIL,3,exponential,32,0.3543365455893254,0.39048297055007364,1863,147,0.48299319727891155,4.59375,20
chinese,USOIL,4,exponential,32,0.32968865826538174,0.3787015086773771,1863,147,0.48299319727891155,4.59375,20
chinese,GOLD,0,exponential,32,0.40214974054855446,0.454056600041074,1862,147,0.48299319727891155,4.59375,20
chinese,GOLD,1,exponential,32,0.36193476649369904,0.4689662998931961,1862,147,0.48299319727891155,4.59375,20
chinese,GOLD,2,exponential,32,0.36249073387694586,0.4615934430316285,1862,147,0.48299319727891155,4.59375,20
chinese,GOLD,3,exponential,32,0.41271312083024464,0.5243234473106869,1862,147,0.48299319727891155,4.59375,20
chinese,GOLD,4,exponential,32,0.34933283914010377,0.4379750852005217,1862,147,0.48299319727891155,4.59375,20
chinese,EURUSD,0,exponential,32,0.4907986111111111,0.44724812358493615,1931,152,0.47368421052631576,4.75,20
chinese,EURUSD,1,exponential,32,0.48541666666666666,0.44832456859462927,1931,152,0.47368421052631576,4.75,20
chinese,EURUSD,2,exponential,32,0.4197916666666667,0.4207974336117335,1931,152,0.47368421052631576,4.75,20
chinese,EURUSD,3,exponential,32,0.4239583333333333,0.43552288177594045,1931,152,0.47368421052631576,4.75,20
chinese,EURUSD,4,exponential,32,0.4375,0.4651169637346179,1931,152,0.47368421052631576,4.75,20
iran2025,USOIL,0,exponential,32,0.33133208255159474,0.3397414883928393,2323,106,0.3867924528301887,3.3125,20
iran2025,USOIL,1,exponential,32,0.5628517823639775,0.5726753949947772,2323,106,0.3867924528301887,3.3125,20
